title,thumbnail,tags,rating,reviews_count,mrp,price,discount,release_date
The Elder Scrolls® Online,https://cdn.akamai.steamstatic.com/steam/apps/306130/header.jpg,"['RPG', 'MMORPG', 'Open World', 'Adventure', 'Fantasy', 'Exploration', 'Multiplayer', 'Singleplayer', 'Massively Multiplayer', 'Action', 'PvP', 'Character Customization', 'PvE', 'Lore-Rich', 'Choose Your Own Adventure', 'Story Rich', 'Class-Based', 'Magic', 'Action RPG', 'Atmospheric']",Very Positive,113233,1599.0,479.0,70,"May 23, 2017"
Sengoku Dynasty,https://cdn.akamai.steamstatic.com/steam/apps/1702010/header_alt_assets_0.jpg,"['Adventure', 'Simulation', 'Life Sim', 'RPG', 'Exploration', 'Historical', 'Open World', 'Crafting', '3D', 'First-Person', 'Atmospheric', 'Multiplayer', 'Story Rich', 'Co-op', 'Online Co-Op', 'Colony Sim', 'Singleplayer', 'Sandbox', 'Ninja', 'Building']",Mixed,768,1300.0,1105.0,15,"Aug 10, 2023"
EA SPORTS™ FIFA 23,https://cdn.akamai.steamstatic.com/steam/apps/1811260/header.jpg,"['Football (Soccer)', 'Sports', 'Controller', 'eSports', 'PvP', 'Management', 'Simulation', 'Team-Based', 'Third Person', 'Realistic', 'Immersive Sim', 'Multiplayer', 'Local Multiplayer', 'Local Co-Op', 'Co-op', 'Online Co-Op', 'Singleplayer', 'PvE', 'Free to Play', 'LGBTQ+']",Mixed,108561,3499.0,874.0,75,"Sep 29, 2022"
The Elder Scrolls V: Skyrim Special Edition,https://cdn.akamai.steamstatic.com/steam/apps/489830/header.jpg,"['Open World', 'RPG', 'Adventure', 'Singleplayer', 'Fantasy', 'Character Customization', 'Dragons', 'Moddable', 'Story Rich', 'Magic', 'First-Person', 'Action', 'Atmospheric', 'Great Soundtrack', 'Third Person', 'Stealth', 'Classic', 'Remake', 'Female Protagonist', 'Walking Simulator']",Very Positive,136069,1799.0,449.0,75,"Oct 28, 2016"
DOOM Eternal,https://cdn.akamai.steamstatic.com/steam/apps/782330/header.jpg,"['Action', 'FPS', 'Great Soundtrack', 'Gore', 'Fast-Paced', 'Violent', 'Demons', 'Shooter', 'First-Person', 'Singleplayer', 'Blood', 'Multiplayer', 'Sci-fi', 'Post-apocalyptic', 'Atmospheric', 'Mature', 'Story Rich', 'Difficult', 'Adventure', 'Horror']",Very Positive,151782,1799.0,449.0,75,"Mar 20, 2020"
World War Z,https://cdn.akamai.steamstatic.com/steam/apps/699130/header.jpg,"['Zombies', 'Multiplayer', 'Online Co-Op', 'Action', 'Co-op', 'Singleplayer', 'Shooter', 'Third-Person Shooter', 'PvE', 'FPS', 'Survival Horror', 'Gun Customization', 'Character Customization', 'Post-apocalyptic', 'Gore', 'First-Person', 'Violent', 'Combat', 'Third Person', 'Class-Based']",Very Positive,11211,899.0,449.0,50,"Sep 21, 2021"
Jurassic World Evolution 2,https://cdn.akamai.steamstatic.com/steam/apps/1244460/header_alt_assets_0.jpg,"['Dinosaurs', 'Building', 'Simulation', 'Management', 'Sandbox', 'Strategy', 'Singleplayer', 'City Builder', 'Economy', 'Sci-fi', 'Resource Management', 'Open World', 'Violent', 'Atmospheric', 'Action', 'Sequel', 'Survival', 'Multiplayer', 'Base Building', 'Casual']",Very Positive,17332,2449.0,612.0,75,"Nov 9, 2021"
Fallout 4,https://cdn.akamai.steamstatic.com/steam/apps/377160/header.jpg,"['Open World', 'Post-apocalyptic', 'Singleplayer', 'Exploration', 'RPG', 'Adventure', 'Atmospheric', 'Shooter', 'First-Person', 'Story Rich', 'Action', 'Sci-fi', 'FPS', 'Action RPG', 'Sandbox', 'Great Soundtrack', 'Third Person', 'Survival', 'Third-Person Shooter', 'Character Customization']",Very Positive,203010,999.0,329.0,67,"Nov 10, 2015"
Deep Rock Galactic,https://cdn.akamai.steamstatic.com/steam/apps/548430/header_alt_assets_15.jpg,"['Co-op', 'PvE', 'FPS', 'Exploration', 'Procedural Generation', 'Shooter', 'Loot', 'Class-Based', 'First-Person', 'Sci-fi', 'Action', 'Space', 'Looter Shooter', 'Atmospheric', 'Combat', 'Horror', 'Survival', 'Action Roguelike', 'Dark', 'Open World']",Overwhelmingly Positive,183132,699.0,230.0,67,"May 13, 2020"
Stray,https://cdn.akamai.steamstatic.com/steam/apps/1332010/header.jpg,"['Cats', 'Adventure', 'Cyberpunk', 'Atmospheric', 'Singleplayer', 'Cute', 'Exploration', 'Robots', 'Third Person', 'Beautiful', 'Puzzle', 'Horror', 'Sci-fi', 'Indie', 'Dystopian ', 'Mystery', 'Open World', 'Colorful', 'Action', 'Stealth']",Overwhelmingly Positive,109898,999.0,749.0,25,"Jul 19, 2022"
Fallout 76,https://cdn.akamai.steamstatic.com/steam/apps/1151340/header.jpg,"['Dark Comedy', 'Open World', 'RPG', 'Multiplayer', 'Post-apocalyptic', 'Capitalism', 'Survival', 'Base Building', 'Co-op', 'Shooter', 'Horror', 'MMORPG', 'Gore', 'Exploration', 'FPS', 'Violent', 'Atmospheric', 'Early Access', 'Singleplayer', 'Great Soundtrack']",Mostly Positive,45714,2499.0,624.0,75,"Apr 14, 2020"
The Long Dark,https://cdn.akamai.steamstatic.com/steam/apps/305620/header.jpg,"['Survival', 'Open World Survival Craft', 'Open World', 'Exploration', 'Atmospheric', 'Singleplayer', 'First-Person', 'Adventure', 'Crafting', 'Sandbox', 'Simulation', 'Post-apocalyptic', 'Indie', 'Walking Simulator', 'Survival Horror', 'Strategy', 'Difficult', 'Action', 'Early Access', 'Horror']",Very Positive,86158,759.0,379.0,50,"Aug 1, 2017"
